4353.64		
3699.6		
1209.47		
4859		
4393.61		
3122.99		
2099.13		
4558.41		
3358.79		
4583.05		
931.24		
1902.35		
22	6	30
24	3	2
6	9	4
13	10	4
31	11	5
1	9	32
22	4	17
44	12	13
24	6	10
44	7	21
29	5	23
33	10	29
25	2	26
17	6	12
5	9	17
6	2	8
22	4	24
31	8	22
19	8	26
9	4	12
5	6	30
8	11	11
22	10	9
34	4	4
8	11	12
38	3	32
40	1	25
11	9	17
46	12	34
14	4	35
22	9	4
33	10	29
20	2	31
8	2	28
26	12	29
3	6	33
43	6	15
4	7	18
10	8	34
22	10	34
46	9	18
18	7	24
30	4	2
48	3	17
1	2	31
21	4	1
18	4	24
26	2	25
1	9	22
12	7	25
38	11	20
35	10	11
44	2	3
39	11	12
48	4	17
33	1	17
5	7	26
44	11	27
8	3	34
35	5	15
11	12	23
36	8	5
2	7	17
42	1	3
43	11	14
5	8	31
12	7	11
44	9	10
28	10	19
14	9	21
27	11	3
25	5	16
13	9	15
11	4	2
45	3	1
45	6	16
22	3	19
49	1	14
20	11	28
20	4	32
50	5	31
43	1	5
43	10	4
46	5	15
29	2	25
46	3	27
9	1	24
49	6	23
8	2	1
20	10	33
11	7	33
17	6	17
14	2	33
2	6	31
2	7	25
38	6	1
41	7	17
38	1	14
2	10	1
23	7	17
33	6	10
5	7	32
22	9	34
42	9	16
41	10	7
35	3	30
41	2	25
1	1	25
40	7	5
50	8	4
2	6	9
10	8	19
48	5	17
3	6	9
20	8	22
42	3	19
28	6	31
42	3	16
40	3	13
10	4	5
35	12	27
5	5	24
4	9	35
29	10	29
22	7	32
42	3	18
30	2	30
40	10	8
4	7	35
3	4	17
23	4	7
15	10	35
20	2	13
20	7	8
44	3	8
22	2	16
24	11	23
46	12	30
50	7	23
17	7	10
45	8	12
15	10	24
11	8	33
43	1	30
3	10	9
47	12	13
23	9	7
28	1	6
46	2	7
32	7	23
41	7	14
49	12	4
30	4	16
27	1	5
23	4	1
44	8	23
21	1	26
1	5	29
23	5	20
48	4	18
31	1	8
8	11	9
44	11	20
11	11	5
13	10	35
38	11	27
28	5	7
5	3	35
9	1	4
28	2	31
11	2	15
14	4	35
22	6	8
23	12	19
19	4	6
48	6	26
38	3	25
8	9	17
16	2	29
50	9	33
12	1	33
40	4	32
45	11	25
6	7	9
38	12	11
28	7	15
46	1	5
5	7	11
13	10	16
17	8	11
9	12	15
3	4	35
13	1	21
35	12	12
27	5	1
21	9	10
28	11	2
16	9	34
12	11	6
45	9	13
6	12	2
27	2	26
14	4	9
28	10	7
46	7	35
2	11	29
1	9	22
44	11	34
18	6	35
48	8	35
39	10	33
46	1	23
49	10	33
40	2	28
29	5	28
19	12	18
4	1	18
38	8	20
38	5	17
35	10	3
8	10	22
5	6	18
6	9	35
12	12	15
5	4	27
38	4	34
24	8	26
