
			2016-11-25


				ALUMNOS DEL GRUPO MIO

1055	8.0
1083	4.0
1000	4.0
1066	2.0
1046	5.0
1023	6.0
1052	6.0
1027	5.0
1056	6.0
1062	3.0
1020	5.0
1038	3.0
1089	5.0
1088	6.0
1068	6.0
1036	4.0
1037	5.0
1085	2.0
1086	5.0
1032	4.0
1099	4.0
1097	7.0
1058	4.0
1061	6.0
1040	6.0
1095	2.0
1041	4.0
1096	4.0
1026	4.0
1070	4.0
1049	5.0
1064	5.0
1078	4.0
1091	4.0
1057	5.0
1006	3.0
1014	6.0
1015	3.0
1011	8.0
1022	4.0
1019	4.0
1098	3.0
1008	6.0
1075	4.0
1034	4.0
1087	2.0
1010	5.0
1082	3.0
1028	5.0
1039	3.0
1025	4.0
1009	5.0
1033	5.0
1093	5.0
1002	5.0
1024	5.0
1030	2.0
1016	2.0
1084	7.0
1047	6.0
1090	4.0
1094	4.0
1076	4.0
1045	5.0
1067	7.0
1073	5.0
1029	3.0
1063	6.0
1042	6.0
1072	5.0
1005	2.0
1021	6.0
1077	5.0
1003	1.0
1035	7.0
1054	5.0
1081	5.0
1013	4.0
1050	4.0
1031	6.0
1048	3.0
1012	3.0
1051	5.0
1059	5.0
1043	5.0
1092	6.0
1053	4.0
1069	7.0
1071	9.0
1004	6.0
1065	3.0
1001	3.0
1018	1.0
1044	1.0
1017	4.0
1074	3.0
1080	4.0
1007	5.0
1060	4.0
1079	3.0
9000	7.0
8888	6.0
145	7.0
