1	1995	5.7536	5.7159	5.5133	5.7536
2	1995	5.7695	5.7214	5.6854	5.7695
3	1995	6.9308	6.8309	6.7019	6.9325
4	1995	6.2818	6.2233	6.2996	6.2947
5	1995	6.005	5.9852	5.9627	6.0181
6	1995	6.24	6.2227	6.2232	6.2514
7	1995	6.147	6.1335	6.1394	6.1621
8	1995	6.2183	6.2008	6.1909	6.2256
9	1995	6.3227	6.3105	6.3025	6.3294
10	1995	6.7862	6.7478	6.6911	6.7925
11	1995	7.7913	7.737	7.6584	7.8
12	1995	7.6965	7.6718	7.6597	7.7102
1	1996	7.4976	7.4803	7.5048	7.5092
2	1996	7.5293	7.5117	7.5042	7.5383
3	1996	7.5718	7.5577	7.5736	7.5806
4	1996	7.47	7.4541	7.4713	7.4791
5	1996	7.4368	7.4273	7.4345	7.4448
6	1996	7.5713	7.5536	7.5425	7.5781
7	1996	7.6259	7.614	7.6229	7.6331
8	1996	7.5193	7.5085	7.5141	7.526
9	1996	7.5485	7.5397	7.5447	7.5556
10	1996	7.7511	7.7278	7.6851	7.758
11	1996	7.9125	7.9018	7.9189	7.9208
12	1996	7.8775	7.8663	7.8767	7.8843
1	1997	7.8318	7.8226	7.8299	7.8381
2	1997	7.813	7.798	7.7926	7.8184
3	1997	7.9749	7.9637	7.9628	7.9813
4	1997	7.9157	7.9038	7.9037	7.9215
5	1997	7.9062	7.8968	7.9057	7.9111
6	1997	7.9562	7.9483	7.9465	7.9613
7	1997	7.8849	7.8717	7.8857	7.8882
8	1997	7.7936	7.7811	7.7843	7.7979
9	1997	7.793	7.779	7.7792	7.7925
10	1997	7.9491	7.9059	7.8114	7.9525
11	1997	8.3026	8.2858	8.2837	8.3072
12	1997	8.13	8.122	8.136	8.1352
1	1998	8.2488	8.2314	8.1798	8.2529
2	1998	8.5178	8.5097	8.4932	8.5223
3	1998	8.5797	8.5688	8.5689	8.5839
4	1998	8.5002	8.4947	8.4996	8.5055
5	1998	8.6096	8.5955	8.5612	8.6141
6	1998	8.933	8.9174	8.8948	8.938
7	1998	8.9053	8.894	8.904	8.9095
8	1998	9.4115	9.3848	9.2596	9.4176
9	1998	10.2799	10.2634	10.2154	10.2916
10	1998	10.1797	10.1634	10.1523	10.1895
11	1998	9.9768	9.9625	9.9874	9.987
12	1998	9.9158	9.8963	9.9117	9.9266
1	1999	10.1826	10.1633	10.1104	10.1936
