1	2015	1	61296
3	2002	3	92847
4	2000	1	41987
10	2010	4	60364
9	1998	1	30173
1	2015	2	25257
3	2015	1	21805
8	2001	1	80664
12	1995	4	90941
6	2007	4	91853
12	2005	1	33069
4	2006	1	98940
3	2010	3	89234
10	1995	3	47410
3	2000	2	99205
7	2002	4	55930
10	2007	4	84803
4	2005	4	17726
4	2011	3	43054
7	2003	2	10905
10	2001	3	36535
2	2005	1	12639
3	2005	4	30926
11	2000	1	13362
10	2003	3	14187
8	2001	3	70118
11	2003	1	94197
1	1998	2	70052
10	1999	3	72385
9	1995	3	66338
9	1995	4	9271
6	2006	1	31751
7	2010	2	33948
2	2008	1	10017
6	2003	2	8725
2	2014	3	25549
6	1998	3	28473
11	1997	3	85908
2	1997	4	80351
8	2006	3	6319
9	1997	2	79748
9	2013	4	39967
2	2008	3	21094
7	2010	1	88860
10	2005	1	85768
11	2003	1	37842
4	2005	2	32542
12	2000	2	75486
6	2002	2	59596
11	2009	1	55868

4	1997	2	500.0
