1055	6.2	9.3	9.5	10
1083	3.5	8.6	4.7	0.9
1000	4.2	9.4	7.4	4.3
1066	5.9	2.3	0	1.1
1046	8.2	1.8	4.4	6.6
1023	9.2	9.1	7.9	0.6
1052	2.5	9	7.8	7.6
1027	8.7	0.8	1	9.7
1056	8.9	1.2	10	9.3
1062	2.8	2	1.3	7.4
1020	8	1.4	0	7.5
1038	7.6	1	6.5	0.6
1089	8.3	6.7	0.8	2
1088	7.5	5.5	7.9	5.4
1068	1.4	9.8	8.1	6.3
1036	0.9	8.6	6	3.3
1037	8.4	3.7	9.5	1.6
1085	1.9	1.1	9	2.3
1086	7.5	3.7	0.6	8.3
1032	4	7.6	8.5	1.9
1099	5	4.2	4	5.9
1097	8.8	6.6	4.7	9.1
1058	0.3	7.7	7.5	6
1061	5.6	4.9	5.7	9.1
1040	8.8	8.6	7.6	1
1095	7.4	0.5	2.9	1
1041	0.8	9.5	7.4	2.2
1096	5.2	4.5	9.3	2.7
1026	1.4	3.7	3	9.9
1070	0.6	4.8	6.9	7.4
1049	9.7	7	2.3	0.5
1064	3.4	7.7	4.2	4.9
1078	6.4	5.5	0.2	4.2
1091	2.5	5.7	1.6	7.6
1057	3.5	6.5	8.7	6.3
1006	7.8	1.3	1.3	2.6
1014	9.5	2.5	4	9.9
1015	3.3	1.7	6.4	6.1
1011	8.1	9.5	3.3	9
1022	3.6	1.5	4.1	9.5
1019	2.9	3.9	0.2	7
1098	3.9	5.3	2.1	0.7
1008	9.3	9.5	8.3	1.6
1075	7.9	1	3.3	6.2
1034	2.2	5.7	8.3	2.9
1087	4.3	3.2	3.1	1.1
1010	2.5	6.6	8.5	7.8
1082	3.2	5.5	4.8	1.4
1028	4.5	8.4	5.4	3.8
1039	1.2	0.5	4.9	9.4
1025	1.9	7.6	1.1	6.7
1009	7.8	3.2	9.9	2.7
1033	9	2.2	9.2	5.1
1093	1.2	8.3	2.9	8.6
1002	1.4	9.3	9.1	3.6
1024	6.3	9.3	1.5	3.5
1030	0.6	0.9	5.7	4.3
1016	0.1	3.9	4.2	3.4
1084	3.3	9.8	5.4	9.3
1047	4.4	6.1	0	9.9
1090	9.3	1.5	2.3	4.6
1094	5	1.5	4.6	7.1
1076	5.1	1.5	7.9	4.8
1045	5.5	4.4	8.5	4.3
1067	4.6	9.7	8.2	9.3
1073	1.3	9.2	5.2	4.8
1029	6.4	1	5.6	1.3
1063	2.5	9.1	5.6	7.1
1042	9.5	1.2	8.4	8.5
1072	6.7	1.3	2.8	9.1
1005	4.1	3.7	1.4	1.3
1021	1.7	10	1.8	7.8
1077	4	6	5.8	5
1003	1.2	2.8	2.8	1
1035	6.1	8.7	5.6	9.4
1054	4	9.7	4.8	3
1081	6.8	1.1	9.6	8.2
1013	1.6	7.7	5.7	4.7
1050	7.3	2.1	0.3	5.2
1031	3.9	8.7	5.6	7.8
1048	2.7	5	4.1	2.9
1012	4	2.7	2.8	4.7
1051	7.3	7.3	7.4	1.1
1059	7.7	8	4.2	1.5
1043	8.4	4.6	4.4	2.5
1092	1.2	9.3	9.8	7.3
1053	8.8	1.9	1.9	4.2
1069	8.9	3.9	9.5	8.1
1071	8.5	9.9	5.8	9.9
1004	8.8	8.4	9	1.2
1065	2.2	9.9	0.3	0.2
1001	8.1	0.6	0.1	3.9
1018	2.1	1.6	7.6	0.1
1044	2	1.2	4.6	0.1
1017	6.9	4	1.2	2.6
1074	0.4	7.8	0.1	5.1
1080	1.3	6.4	8.1	3.3
1007	9.5	0.2	5.6	8
1060	3	7.3	8.3	0.7
1079	1.1	5.9	4.4	2.4
